ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
4.178074132240390016e-03,-1.991141863329108096e-05,-3.266591692079544125e-10
4.178074132240389149e-03,-2.036207435799800586e-05,-3.411788046566645276e-10
4.178074132240387414e-03,-2.081288298408675346e-05,-3.560270634423717212e-10
4.178074132240385680e-03,-2.126382922141914963e-05,-3.712040570625220113e-10
4.178074132240384812e-03,-2.171489930887081664e-05,-3.867098858648168714e-10
4.178074132240383945e-03,-2.216608086142984399e-05,-4.025446401621874514e-10
4.178074132240382210e-03,-2.261736273258548822e-05,-4.187084012362718849e-10
4.178074132240380476e-03,-2.306873489047808829e-05,-4.352012422405446261e-10
4.178074132240377873e-03,-2.352018830643394458e-05,-4.520232290131323999e-10
4.178074132240376139e-03,-2.397171485464673449e-05,-4.691744208083494186e-10
4.178074132240375271e-03,-2.442330722189076637e-05,-4.866548709550785045e-10
4.178074132240372669e-03,-2.487495882626290992e-05,-5.044646274493142183e-10
4.178074132240370067e-03,-2.532666374405036447e-05,-5.226037334874515767e-10
4.178074132240368332e-03,-2.577841664391158775e-05,-5.410722279462459707e-10
4.178074132240365730e-03,-2.623021272763920931e-05,-5.598701458147775313e-10
4.178074132240363128e-03,-2.668204767684658426e-05,-5.789975185832182628e-10
4.178074132240360526e-03,-2.713391760498574503e-05,-5.984543745927228242e-10
4.178074132240357057e-03,-2.758581901416351035e-05,-6.182407393503307084e-10
4.178074132240354455e-03,-2.803774875627601534e-05,-6.383566358123771387e-10
4.178074132240350985e-03,-2.848970399802978808e-05,-6.588020846395640330e-10
4.178074132240347516e-03,-2.894168218946069942e-05,-6.795771044265230968e-10
4.178074132240344046e-03,-2.939368103560104634e-05,-7.006817119084225859e-10
4.178074132240339709e-03,-2.984569847097987580e-05,-7.221159221469145095e-10
4.178074132240337107e-03,-3.029773263667333852e-05,-7.438797486974851589e-10
4.178074132240332771e-03,-3.074978185964997356e-05,-7.659732037600722894e-10
4.178074132240328434e-03,-3.120184463418147248e-05,-7.883962983146200667e-10
4.178074132240324097e-03,-3.165391960511233197e-05,-8.111490422430780748e-10
4.178074132240318893e-03,-3.210600555280263018e-05,-8.342314444392011664e-10
4.178074132240314556e-03,-3.255810137957640090e-05,-8.576435129073679751e-10
4.178074132240310219e-03,-3.301020609752532804e-05,-8.813852548515205119e-10
4.178074132240304148e-03,-3.346231881753187630e-05,-9.054566767552055732e-10
4.178074132240299811e-03,-3.391443873939029171e-05,-9.298577844536156584e-10
4.178074132240294607e-03,-3.436656514291539161e-05,-9.545885831984236966e-10
4.178074132240287668e-03,-3.481869737994049537e-05,-9.796490777161361924e-10
4.178074132240281596e-03,-3.527083486711560462e-05,-1.005039272260607614e-09
4.178074132240275525e-03,-3.572297707942571746e-05,-1.030759170660308804e-09
4.178074132240269453e-03,-3.617512354435733964e-05,-1.056808776360861430e-09
4.178074132240262514e-03,-3.662727383664833038e-05,-1.083188092463326732e-09
4.178074132240255575e-03,-3.707942757356273250e-05,-1.109897121758659038e-09
4.178074132240248637e-03,-3.753158441063821977e-05,-1.136935866758717184e-09
4.178074132240240830e-03,-3.798374403785866673e-05,-1.164304329724174202e-09
4.178074132240233024e-03,-3.843590617620959096e-05,-1.192002512689636112e-09
4.178074132240225218e-03,-3.888807057457794474e-05,-1.220030417486248146e-09
4.178074132240216544e-03,-3.934023700696198173e-05,-1.248388045762040496e-09
4.178074132240207871e-03,-3.979240526996012954e-05,-1.277075399000241264e-09
4.178074132240198330e-03,-4.024457518051098386e-05,-1.306092478535755557e-09
4.178074132240189656e-03,-4.069674657385927066e-05,-1.335439285569997247e-09
4.178074132240180115e-03,-4.114891930172525210e-05,-1.365115821184239460e-09
4.178074132240169707e-03,-4.160109323065714585e-05,-1.395122086351627720e-09
4.178074132240160166e-03,-4.205326824054837694e-05,-1.425458081947993474e-09
4.178074132240148890e-03,-4.250544422330300621e-05,-1.456123808761584217e-09
4.178074132240138482e-03,-4.295762108163468505e-05,-1.487119267501823337e-09
4.178074132240127206e-03,-4.340979872798571932e-05,-1.518444458807191697e-09
4.178074132240115930e-03,-4.386197708355416740e-05,-1.550099383252321949e-09
4.178074132240102920e-03,-4.431415607741827909e-05,-1.582084041354383954e-09
4.178074132240091644e-03,-4.476633564574851107e-05,-1.614398433578829764e-09
4.178074132240078634e-03,-4.521851573109823504e-05,-1.647042560344567006e-09
4.178074132240064756e-03,-4.567069628176550859e-05,-1.680016422028612198e-09
4.178074132240051745e-03,-4.612287725121856999e-05,-1.713320018970279996e-09
4.178074132240037868e-03,-4.657505859757882959e-05,-1.746953351474954315e-09
4.178074132240023122e-03,-4.702724028315559808e-05,-1.780916419817479563e-09
4.178074132240008377e-03,-4.747942227402720492e-05,-1.815209224245216656e-09
4.178074132239993632e-03,-4.793160453966416356e-05,-1.849831764980790297e-09
4.178074132239978020e-03,-4.838378705258995169e-05,-1.884784042224561621e-09
4.178074132239961540e-03,-4.883596978807567282e-05,-1.920066056156857863e-09
4.178074132239945060e-03,-4.928815272386535330e-05,-1.955677806939971445e-09
4.178074132239928580e-03,-4.974033583992858160e-05,-1.991619294719966334e-09
4.178074132239910365e-03,-5.019251911823800972e-05,-2.027890519628299727e-09
4.178074132239893018e-03,-5.064470254256899938e-05,-2.064491481783284922e-09
4.178074132239874804e-03,-5.109688609831942763e-05,-2.101422181291401155e-09
4.178074132239855722e-03,-5.154906977234730725e-05,-2.138682618248481024e-09
4.178074132239835772e-03,-5.200125355282493442e-05,-2.176272792740773824e-09
4.178074132239815823e-03,-5.245343742910730053e-05,-2.214192704845904664e-09
4.178074132239795874e-03,-5.290562139161396826e-05,-2.252442354633734326e-09
4.178074132239775057e-03,-5.335780543172248102e-05,-2.291021742167139287e-09
4.178074132239753373e-03,-5.380998954167264821e-05,-2.329930867502708215e-09
4.178074132239731689e-03,-5.426217371448033083e-05,-2.369169730691369380e-09
4.178074132239709138e-03,-5.471435794385976512e-05,-2.408738331778959340e-09
4.178074132239685719e-03,-5.516654222415376033e-05,-2.448636670806731247e-09
4.178074132239661433e-03,-5.561872655027088951e-05,-2.488864747811812690e-09
4.178074132239637146e-03,-5.607091091762881284e-05,-2.529422562827618456e-09
4.178074132239612860e-03,-5.652309532210346920e-05,-2.570310115884221524e-09
4.178074132239586840e-03,-5.697527975998316699e-05,-2.611527407008688070e-09
4.178074132239560819e-03,-5.742746422792742510e-05,-2.653074436225376082e-09
4.178074132239533930e-03,-5.787964872292977123e-05,-2.694951203556210810e-09
4.178074132239506175e-03,-5.833183324228439592e-05,-2.737157709020922578e-09
4.178074132239478419e-03,-5.878401778355607944e-05,-2.779693952637269301e-09
4.178074132239449796e-03,-5.923620234455311386e-05,-2.822559934421233762e-09
4.178074132239420306e-03,-5.968838692330297630e-05,-2.865755654387198564e-09
4.178074132239389948e-03,-6.014057151803036023e-05,-2.909281112548110738e-09
4.178074132239359591e-03,-6.059275612713750403e-05,-2.953136308915619468e-09
4.178074132239327498e-03,-6.104494074918647101e-05,-2.997321243500212578e-09
4.178074132239295406e-03,-6.149712538288305580e-05,-3.041835916311326544e-09
4.178074132239263314e-03,-6.194931002706249325e-05,-3.086680327357454856e-09
4.178074132239228619e-03,-6.240149468067650892e-05,-3.131854476646241491e-09
4.178074132239194792e-03,-6.285367934278163009e-05,-3.177358364184566937e-09
4.178074132239160098e-03,-6.330586401252877738e-05,-3.223191989978622226e-09
4.178074132239123668e-03,-6.375804868915371023e-05,-3.269355354033980489e-09
4.178074132239086372e-03,-6.421023337196867854e-05,-3.315848456355656922e-09
4.178074132239049943e-03,-6.466241806035467063e-05,-3.362671296948164622e-09
4.178074132239011779e-03,-6.511460275375458278e-05,-3.409823875815567527e-09
4.178074132238972747e-03,-6.556678745166699858e-05,-3.457306192961521775e-09
4.178074132238931981e-03,-6.601897215364070019e-05,-3.505118248389316238e-09
4.178074132238892083e-03,-6.647115685926954548e-05,-3.553260042101913875e-09
4.178074132238850449e-03,-6.692334156818803635e-05,-3.601731574101979036e-09
4.178074132238807949e-03,-6.737552628006719874e-05,-3.650532844391911371e-09
4.178074132238765448e-03,-6.782771099461095061e-05,-3.699663852973868994e-09
4.178074132238721212e-03,-6.827989571155283570e-05,-3.749124599849796608e-09
4.178074132238676110e-03,-6.873208043065305562e-05,-3.798915085021440804e-09
4.178074132238630140e-03,-6.918426515169578636e-05,-3.849035308490376948e-09
4.178074132238583302e-03,-6.963644987448675244e-05,-3.899485270258020345e-09
4.178074132238535597e-03,-7.008863459885112627e-05,-3.950264970325647335e-09
4.178074132238486157e-03,-7.054081932463159010e-05,-4.001374408694404391e-09
4.178074132238436718e-03,-7.099300405168650649e-05,-4.052813585365324662e-09
4.178074132238386411e-03,-7.144518877988846812e-05,-4.104582500339335416e-09
4.178074132238335237e-03,-7.189737350912275284e-05,-4.156681153617275415e-09
4.178074132238282327e-03,-7.234955823928610396e-05,-4.209109545199896565e-09
4.178074132238229418e-03,-7.280174297028563246e-05,-4.261867675087876329e-09
4.178074132238174775e-03,-7.325392770203775989e-05,-4.314955543281824338e-09
