gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.837164647607767570e-02,-1.585361884948964517e-02,-1.357783731820583380e-02
-8.742827575782064278e-03,-5.489155939030008168e-03,3.600530900612746929e-03
-9.338165405328227846e-04,1.969738000209688214e-02,3.316275956846818224e-02
3.094929102136584689e-02,-9.992056717873096933e-03,-1.142423881111504988e-02
-2.696237339220000639e-02,-2.636594921065167976e-02,-2.509314333633512473e-02
-2.705832513692923730e-03,4.912783350868285374e-03,2.029851444801021934e-02
-1.962376241277184394e-02,-1.337530736909837113e-02,1.531339149451190797e-02
-2.202677267357211130e-02,-3.480505375079998714e-02,1.577557641288644674e-02
1.543683341652476830e-03,1.593106960694527438e-02,5.980582670044865858e-03
1.401580965094299282e-02,-1.862369999074905275e-02,-3.250097035584797317e-02
-2.482452227214676510e-02,-7.055668509418679298e-03,2.870148908461394449e-02
-2.890525891735392858e-02,1.822368466807947410e-02,1.919224241839549705e-02
-8.580114417645624478e-03,-4.422713050349570858e-03,-2.885834331519778959e-03
1.655233950734985582e-02,-3.001779281397778595e-02,3.516290865853782810e-02
7.344009694983892785e-03,-3.791545459161665271e-02,1.295809512713941986e-02
3.395855209865240865e-02,-1.218398531226647097e-02,1.259972741576671600e-02
9.469163316904890410e-03,-1.354191417346028645e-02,1.057059562543283954e-02
-1.536887585355843676e-03,-3.773584810519590993e-02,-2.141783679486512770e-02
-6.395508254229365259e-03,7.154984881256852731e-03,-3.628330942994973524e-02
4.659419523274797338e-03,1.398276778929182819e-02,-1.127341089003189301e-02
4.173129335685304975e-02,2.546736500293996994e-02,1.383560654656392289e-02
8.316500633887734945e-03,-4.709041487158156791e-02,-4.142834005395060193e-02
3.187331531097684079e-02,-2.828465638165378673e-02,-3.061523054674038236e-02
2.478532203198892912e-03,8.012562567647985240e-04,3.327336371757218508e-03
1.345626400120860516e-02,2.519896348038516004e-02,2.552660755864817350e-03
2.244142326382327080e-02,-1.015649019164746765e-02,4.864701749193351549e-02
3.583394567916391160e-02,-4.215159733008740778e-02,-2.959518312442943003e-03
-4.601553884465761635e-02,4.342073289522538869e-03,3.123343507088065241e-02
-5.538326258776339606e-02,1.759794167487565772e-02,-2.595162860320423745e-02
-7.721250848573385853e-03,-9.062156379495129796e-03,-1.705796479603359722e-03
6.723336680925080973e-03,-2.674085833624748748e-02,7.102862546512315155e-03
2.026980116286553057e-02,-1.374847574565474088e-04,1.933392960618872392e-02
-7.449549524889908202e-03,1.962337923780027582e-02,3.275670498999602546e-03
-2.134638200456967765e-03,-5.362167067189372270e-03,2.435522187999291342e-03
2.617742081020604100e-02,1.952743389588740622e-02,-1.092187160753910029e-02
6.859557338227544564e-03,-2.600967900203051894e-02,-4.875535608118831965e-02
-9.310215284514419126e-03,2.843210755684812477e-02,-1.716668043144825226e-02
7.607844303761611242e-03,-8.547408178681078009e-03,-2.513846487992367831e-02
3.093238505660735396e-02,-7.749600092516709289e-03,1.899828939871645679e-03
-7.965501916117091741e-03,-2.752032957903537136e-02,2.892305521005874777e-02
-1.379936766853593309e-02,-2.588430572475667810e-02,5.094769803219114344e-03
1.814812097351761397e-02,-2.706264928614801699e-03,-3.342352553336590260e-02
-8.808346004988714187e-03,-2.377342520345025051e-03,5.527854801872795175e-03
-8.825814815110714570e-03,2.104908263590317408e-02,-1.176610414260790063e-02
9.430148334719957656e-03,-6.237098492608541579e-03,-3.204294290011992091e-02
1.358772655339771790e-02,3.668195496626076163e-02,3.624164693863648427e-03
6.887243662748175925e-04,2.346239265829440715e-02,-8.077152090364570630e-03
3.484904255410871399e-02,5.337183576312820935e-03,-2.817031791992660392e-02
3.692316263505850821e-02,-2.773871629975436723e-02,-2.581747806797816611e-02
-6.130233549128320802e-02,2.866970052764788654e-02,-1.855312682098414143e-02
-7.632663453752538615e-03,2.559537835706640965e-02,3.553560398845142382e-02
8.070289803942726214e-03,4.618421592907682310e-02,-1.616665651130970785e-02
