Yaw (deg),Pitch (deg),Roll (deg)
-2.749206919454835751e-03,3.173003157238790450e+00,5.908146040002738505e-03
-2.366367038046128177e-03,3.174963144123481573e+00,5.863237855469291201e-03
-2.290617127063372845e-03,3.177226763586487479e+00,5.624609265537811389e-03
-1.908633485936531322e-03,3.178959126153064307e+00,5.638591681706206331e-03
-1.884440323126387439e-03,3.181273579250146977e+00,5.725894259343934818e-03
-1.708343919931632794e-03,3.183052592862448460e+00,5.921885964487114302e-03
-2.148990912745720946e-03,3.184764739382995646e+00,5.946363558024263599e-03
-2.165751840863246701e-03,3.187183171058522113e+00,5.914205278409661280e-03
-2.465772142257491566e-03,3.188787598784631250e+00,5.860959826518745593e-03
-2.295667849362454868e-03,3.190499861810968341e+00,6.165568645870050761e-03
-2.027477620032855539e-03,3.192022141290687731e+00,5.951382898190235582e-03
-1.592116169906946342e-03,3.193766053177713005e+00,6.076149959947787366e-03
-1.649035766969794183e-03,3.195039093319433032e+00,6.267099378231078335e-03
-1.696006609121781779e-03,3.196703075451260201e+00,6.489855790665966830e-03
-1.874263034802238275e-03,3.198371830763873991e+00,6.421388070589525640e-03
-1.781347993492906831e-03,3.200229535802740610e+00,6.422889436512471337e-03
-2.028606154812914730e-03,3.201677116527390066e+00,5.976120379376320853e-03
-2.038046032481622815e-03,3.203242681732006769e+00,6.200404299496353570e-03
-2.075909660076565369e-03,3.204894291232476711e+00,6.206689389199118723e-03
-1.932532852949008558e-03,3.206659769565034512e+00,6.262941745380943767e-03
-1.712353193068515177e-03,3.208238619259453195e+00,5.970617324101057735e-03
-1.655250720751514715e-03,3.209708394015546862e+00,5.955971109592349093e-03
-1.795688861442045012e-03,3.210789431431477770e+00,6.198313465094463376e-03
-1.777831499552461362e-03,3.212055418317605326e+00,6.312985021698082691e-03
-1.868682551217205976e-03,3.213591558065942877e+00,6.089784589107559605e-03
-1.805582268315106048e-03,3.214974510633961557e+00,6.103132097005121645e-03
-1.774050028930558576e-03,3.216941651233839572e+00,6.173989036834170649e-03
-2.022044418796014546e-03,3.218473225148198225e+00,6.392721869603571958e-03
-2.160019143308016497e-03,3.220086988703026787e+00,6.443820485634313422e-03
-2.353804721917016757e-03,3.221761212153485765e+00,6.223250750428985061e-03
-2.453220940433773704e-03,3.222994905656228148e+00,6.309840558652592656e-03
-2.355774630564666169e-03,3.224556396307930228e+00,6.304315681727813529e-03
-2.585071224184759282e-03,3.226206723328424175e+00,6.282477380429317242e-03
-2.548628007961205744e-03,3.227913797082615499e+00,6.018169443417415929e-03
-2.599800477211965024e-03,3.229808503122198804e+00,6.174935809830879758e-03
-2.407920998231964128e-03,3.231471361609047133e+00,6.100157242432903762e-03
-2.713263571521736667e-03,3.233033017261873976e+00,5.933985976505076580e-03
-2.507347769612424618e-03,3.234767355751019480e+00,5.969593020886115355e-03
-2.289454900288675869e-03,3.236851713489152793e+00,5.781737401302797751e-03
-2.981674334519568859e-03,3.238220457452597678e+00,5.830048529139189931e-03
-3.394089153100379903e-03,3.239820100923222146e+00,5.472685673118640390e-03
-3.375920971484360975e-03,3.241362230577109038e+00,5.636940515812725871e-03
-3.373812467554912660e-03,3.242861240468355888e+00,5.486721536051861713e-03
-3.242673914627465948e-03,3.244218930179003202e+00,5.674954816740381339e-03
-3.300190164447993138e-03,3.246031473263443434e+00,5.554644740186353256e-03
-3.422042432375867020e-03,3.247626279657035653e+00,5.577061699011426343e-03
-3.503865739219346864e-03,3.249236900130084482e+00,5.441275687125549793e-03
-3.642242275729585827e-03,3.250806828517927016e+00,5.679017875505606126e-03
-3.526438623162444618e-03,3.252642204634902168e+00,5.809832903182499293e-03
-3.677004983831969227e-03,3.254208994240577191e+00,6.077741488644763761e-03
-3.663538446336136491e-03,3.256083436345463600e+00,5.943415723333986093e-03
-3.776577133512547951e-03,3.257512663857129898e+00,6.098107277099767791e-03
-3.694715523746333954e-03,3.259050898804570107e+00,6.629567394695745977e-03
-3.516109338138001441e-03,3.260748628672611726e+00,7.096236072281121750e-03
-3.852344047329020211e-03,3.262179468508384694e+00,7.204800213456290757e-03
-3.978023738291587390e-03,3.263724957002239968e+00,7.442316651206079547e-03
-3.993727402677959420e-03,3.265443286338353346e+00,7.551440839646550614e-03
-4.104224456029127721e-03,3.266839944662708106e+00,7.490202170796115590e-03
-3.869024845328799568e-03,3.268271297984989499e+00,7.624587535072274193e-03
-4.060652665035369320e-03,3.269923017237737817e+00,7.820883328865109452e-03
-4.175522810493008732e-03,3.271552396223013304e+00,8.128966562863073481e-03
