gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-9.323963501847421203e-05,2.900490957656477464e-01,-3.094259418633797957e-05
-1.044782312026970545e-04,2.764097299511078520e-01,-3.035799745423318309e-05
-8.437134964305543019e-05,2.641400289342528684e-01,-2.818528764657274465e-05
-8.550116697283071038e-05,2.531030469245230674e-01,-2.731316725072578872e-05
-6.507927168312623706e-05,2.431754670061371526e-01,-2.536406940173723909e-05
-7.128461458132393294e-05,2.342463972985866782e-01,-2.498107319937284640e-05
-7.630090490049084065e-05,2.262159648147808177e-01,-2.460287238407066218e-05
-9.135573480364468386e-05,2.189942835535202137e-01,-2.484739796759864841e-05
-1.156784748867145868e-04,2.125004578846243497e-01,-2.567442571716021903e-05
-1.024710468799552556e-04,2.066618068665867780e-01,-2.446891027094498874e-05
-9.948479913547990166e-05,2.014127550809075295e-01,-2.385441617559486336e-05
-1.103031604188479687e-04,1.966943184914858589e-01,-2.405350356556658657e-05
-1.066355666376010285e-04,1.924534746545713271e-01,-2.349758225621265115e-05
-1.025402240211906402e-04,1.886424449463504349e-01,-2.297330954926404446e-05
-1.068295980752905893e-04,1.852182410815322033e-01,-2.294828406728489706e-05
-8.439115978119519099e-05,1.821421671168375056e-01,-2.145907113748854477e-05
-8.415927217346981580e-05,1.793794563898288841e-01,-2.122572125366491391e-05
-9.275472955189689435e-05,1.768987357340428002e-01,-2.153761995465310180e-05
-9.635817145632502340e-05,1.746718233807798004e-01,-2.156734150705239922e-05
-1.084926782550312447e-04,1.726733138583612659e-01,-2.210352614915791499e-05
-1.003128656380520678e-04,1.708804064149950785e-01,-2.153992662502512864e-05
-9.795869399102236357e-05,1.692725198159157063e-01,-2.133520293816386419e-05
-1.100308085611395532e-04,1.678311291177308207e-01,-2.193778731836303175e-05
-1.111684165770477766e-04,1.665396261713829595e-01,-2.193755031127531588e-05
-1.075673697866347527e-04,1.653830063692217633e-01,-2.163471047932205902e-05
-1.060826728778480093e-04,1.643477773252294272e-01,-2.148353817342682720e-05
-1.003721029865742320e-04,1.634218017466040340e-01,-2.110389318530767860e-05
-1.007497126888677401e-04,1.625941515119725955e-01,-2.107753339315213782e-05
-9.804564668779410853e-05,1.618549975283402054e-01,-2.085468053973583554e-05
-1.052581028335914965e-04,1.611954777466814148e-01,-2.119422337894596319e-05
-1.119736684199098691e-04,1.606076390828571898e-01,-2.153746300009116836e-05
-1.107880319121226946e-04,1.600843237331951441e-01,-2.145300448999953099e-05
-1.072442244807028845e-04,1.596190707747230098e-01,-2.121633203090124558e-05
-9.436248226733105272e-05,1.592060673561490336e-01,-2.046088598862624581e-05
-7.536583901269187664e-05,1.588400787314139806e-01,-1.937231778727895785e-05
-5.725210100112225394e-05,1.585164157447845612e-01,-1.835753092896303957e-05
-5.100919544897708372e-05,1.582308686127889552e-01,-1.801546449646993948e-05
-7.104829630109875686e-05,1.579795765029191890e-01,-1.913024564050271807e-05
-6.125243224245169955e-05,1.577591695836952634e-01,-1.857605598890971245e-05
-5.345814152595186895e-05,1.575665343669270801e-01,-1.813470766692417123e-05
-7.090619268675945361e-05,1.573988718392258235e-01,-1.911463338371137511e-05
-5.842138372174699237e-05,1.572537194247067005e-01,-1.838151266903562727e-05
-3.358097602100967329e-05,1.571287690236521650e-01,-1.696993500781415068e-05
-1.767568939594054431e-05,1.570220676054771280e-01,-1.605615373539804884e-05
-1.345954346171926359e-05,1.569317893462346680e-01,-1.578766866642958557e-05
-1.955732335937746124e-05,1.568562741195729526e-01,-1.610902818604369654e-05
-4.343275534229541827e-05,1.567940049786812617e-01,-1.741998229592713168e-05
-2.159111907645285431e-05,1.567436802121360273e-01,-1.615424190921098377e-05
-1.971469559645268237e-05,1.567041621938242424e-01,-1.598575092232119147e-05
7.525710562380521705e-06,1.566742440562030880e-01,-1.440387998183725011e-05
