q0 (),q1,q2,q3
9.736714196123996690e-01,-2.118139046431372421e-04,2.279559591361642878e-01,4.958987274220644117e-05
9.735309752177813136e-01,-1.913483218352846169e-04,2.285550298271471770e-01,4.492268096005338823e-05
9.732700263069757884e-01,-5.899826757792608553e-04,2.296629888142026898e-01,1.392184912774957158e-04
9.731958603598267477e-01,-9.965618016457959433e-04,2.299755830173064175e-01,2.354971806615895687e-04
9.731428446819202494e-01,3.299667134282278490e-04,2.302018437669863249e-01,-7.805528882837202377e-05
9.730397744762914192e-01,-9.009408487102461827e-06,2.306373716495186965e-01,2.135479297031354512e-06
9.727293482317116435e-01,-5.247687642507271573e-04,2.319425016018152597e-01,1.251285161325400668e-04
9.728715557805036607e-01,-1.161882104016874222e-05,2.313459223988862945e-01,2.762920608331441083e-06
9.728800704414211076e-01,2.033743047151560630e-05,2.313101124051938073e-01,-4.835388730149078534e-06
9.728492919488397339e-01,-2.829429175354477416e-04,2.314393453306586856e-01,6.731168346658391276e-05
9.728109235588240367e-01,7.184526060452603750e-04,2.315995716198231136e-01,-1.710438398250226576e-04
9.725698979050217963e-01,-4.347517048982050988e-05,2.326108159368480977e-01,1.039801345118159624e-05
9.726044621742908625e-01,-3.775785220800198364e-04,2.324659318022500032e-01,9.024649420960512744e-05
9.723528642925216570e-01,-2.224116951082096753e-04,2.335162841905608078e-01,5.341348239867830671e-05
9.724536713714105884e-01,-5.617659627261191880e-04,2.330955240313928312e-01,1.346543648500788618e-04
9.724361323576150573e-01,1.737766550539725154e-04,2.331693302105190546e-01,-4.166791516366456224e-05
9.722392788215703519e-01,-1.708989023113970907e-05,2.339888553062549337e-01,4.113024375378906909e-06
9.721372654376326805e-01,-5.663728462110198666e-04,2.344115989408254719e-01,1.365695660450009510e-04
9.722562738127682458e-01,-1.890104706950384011e-04,2.339181485879468503e-01,4.547461462535550561e-05
9.723689527167630464e-01,-1.408149708812547121e-05,2.334493940510178611e-01,3.380730075111325989e-06
9.722396316056147736e-01,-8.003223725064292796e-05,2.339873756407049310e-01,1.926123205860892897e-05
9.722980080418726079e-01,8.879202121323381944e-05,2.337446795504282970e-01,-2.134598895961984063e-05
9.723149446605168222e-01,-1.231447900243334945e-04,2.336742012916845634e-01,2.959510250273420621e-05
9.721748965104440865e-01,-8.475210530543149346e-06,2.342562070018797959e-01,2.042194958493354589e-06
9.721926835745915429e-01,-3.807936277044388670e-04,2.341820500948939010e-01,9.172567733282607771e-05
9.724804766094889974e-01,-3.840638248219375018e-04,2.329840480418918780e-01,9.201289564746613109e-05
9.721336885766989067e-01,-1.067356799718215522e-04,2.344271304249167520e-01,2.573898987739095905e-05
9.722354832752642118e-01,-1.260582454995518177e-05,2.340046257927416162e-01,3.034060479549530613e-06
9.722487434221589453e-01,3.611085573506524595e-04,2.339492315959723068e-01,-8.689244402369240134e-05
9.721560453996762607e-01,6.478920987557516874e-04,2.343334786991321250e-01,-1.561712340745656990e-04
9.720609510566292633e-01,6.897352449106193681e-04,2.347275100115315538e-01,-1.665531738818215417e-04
9.720735452285310663e-01,3.001907992422907148e-04,2.346762180115377072e-01,-7.247151390328143846e-05
9.722851410455470855e-01,-6.908008058554382467e-04,2.337971336510051845e-01,1.661109910197014082e-04
9.722657970913148873e-01,3.821666160623417925e-04,2.338783130260819465e-01,-9.193009126407874164e-05
9.719709325991875426e-01,3.443317219978423382e-04,2.351007883465869031e-01,-8.328711958283741077e-05
9.721525148723658694e-01,-6.017179276121691371e-04,2.343482552167212851e-01,1.450508477952625432e-04
9.720080233010616189e-01,4.862599907033222837e-04,2.349471267647367523e-01,-1.175354368870345844e-04
9.722674311224411836e-01,1.008333697715553447e-03,2.338695508476332785e-01,-2.425449433362457342e-04
9.720569467402693231e-01,7.617035856717339513e-04,2.347438567157522638e-01,-1.839452286971582720e-04
9.720426813546360068e-01,3.690530988301872440e-04,2.348039213416888982e-01,-8.914743812264240553e-05
9.720248101746457037e-01,-1.372108392934309435e-05,2.348781986598225957e-01,3.315536232460262025e-06
9.723087576960586231e-01,-7.218554780667546739e-04,2.336987987336300587e-01,1.735012224750782678e-04
9.718153428661508997e-01,9.553922605334328301e-04,2.357413262117228625e-01,-2.317574426087115602e-04
9.721189054092512771e-01,2.586698933374137542e-04,2.344883002256345217e-01,-6.239469603021581654e-05
9.722129187283523599e-01,1.243874580761224766e-03,2.340948605357200674e-01,-2.995070739114366132e-04
9.722752616776152434e-01,2.242392817094774607e-04,2.338391805021122760e-01,-5.393115708904365957e-05
9.718580032044199513e-01,-5.206115602147380226e-04,2.355668369002527351e-01,1.261900587216706565e-04
9.719756383286451973e-01,3.994895526979470304e-04,2.350812403579947696e-01,-9.662021953531735416e-05
9.722182796374172487e-01,-8.548354510686930548e-05,2.340760752572302317e-01,2.058144056410135615e-05
9.719925455178630713e-01,1.040786042713084350e-04,2.350116592684246553e-01,-2.516447846944154212e-05
9.721996647059306662e-01,6.826122578855430825e-04,2.341523413440835810e-01,-1.644057946290467085e-04
9.722071675317931483e-01,4.658824862613277894e-04,2.341217498790333085e-01,-1.121913379824263042e-04
9.720811369522848189e-01,4.298988255952346699e-05,2.346449684645711131e-01,-1.037707579544375432e-05
9.721573926423215939e-01,3.731284044159348726e-05,2.343288340297558503e-01,-8.993887678261828860e-06
9.723262628828237553e-01,-5.301213151439111183e-04,2.336264994713491139e-01,1.273753387931939583e-04
9.720771512662004232e-01,-4.306515045743622666e-04,2.346610656197327949e-01,1.039600003379638292e-04
9.721561628668788924e-01,-3.868480261695621974e-04,2.343336012043215344e-01,9.324786958482759037e-05
9.720242803998376813e-01,-1.216566436905036550e-05,2.348803911707666447e-01,2.939716695841588316e-06
