mag_x (uT),mag_y (uT),mag_z (uT)
2.756962944861972531e+01,-2.177070763678795817e+00,-1.639766103613633064e+01
2.757177294497529019e+01,-2.176889953295619851e+00,-1.639716236437330821e+01
2.757157370020769704e+01,-2.177155338020627440e+00,-1.639515106342897965e+01
2.756871302222775455e+01,-2.177493467739122224e+00,-1.639731591339106131e+01
2.757051061040770534e+01,-2.176115945668784857e+00,-1.639648764460795860e+01
2.756909177261294275e+01,-2.177475814634135975e+00,-1.639645945113351644e+01
2.756933004581026836e+01,-2.175338914455913208e+00,-1.639867842352995808e+01
2.756948943915668337e+01,-2.177564184274496384e+00,-1.639732878761669355e+01
2.756928283972944982e+01,-2.175055263000470251e+00,-1.639889614778712712e+01
2.756965931255025737e+01,-2.176058454063122927e+00,-1.639731133984533784e+01
2.756881237590056699e+01,-2.175600730615922185e+00,-1.639658889124742558e+01
2.756931704779473691e+01,-2.175816098033076962e+00,-1.639801170224143689e+01
2.756868782830732201e+01,-2.175878179943241175e+00,-1.639577676925783578e+01
2.756986133289746022e+01,-2.176101263260646235e+00,-1.639600539445171279e+01
2.756799751837418455e+01,-2.176995364064174598e+00,-1.639778746816727661e+01
2.757069192357290177e+01,-2.176675403475820669e+00,-1.639610428268779074e+01
2.757059131817635489e+01,-2.177896063509672686e+00,-1.639667803871998686e+01
2.757051137545232322e+01,-2.177816187040709117e+00,-1.639593910672546073e+01
2.757133575480341037e+01,-2.176256726503851713e+00,-1.639754451009110170e+01
2.757019576055278165e+01,-2.175875267225664267e+00,-1.639746681264263728e+01
2.756896396587724141e+01,-2.175485555738481125e+00,-1.639947113474642748e+01
2.756811967980296174e+01,-2.176786624482895949e+00,-1.639692448151562942e+01
2.757067454524225170e+01,-2.175044370887561751e+00,-1.639798889059663622e+01
2.756849741802835041e+01,-2.174571350410807291e+00,-1.639796045336827390e+01
2.756833418434903038e+01,-2.176015492298843501e+00,-1.639699848705828344e+01
2.756886815928158541e+01,-2.176283206108890145e+00,-1.639604556926641266e+01
2.757076729119507164e+01,-2.177248534674133928e+00,-1.639747806493382143e+01
2.756760139333591653e+01,-2.175767040331417324e+00,-1.639657609085864109e+01
2.756992695847809927e+01,-2.174793330215776699e+00,-1.639796580273113946e+01
2.757004771636304241e+01,-2.178255418319213543e+00,-1.639702613712822910e+01
2.756988132022839011e+01,-2.177464637290988492e+00,-1.639849936925328677e+01
2.757187547161468189e+01,-2.177578207793036125e+00,-1.639612651191217907e+01
2.757054574494504351e+01,-2.175803195526290867e+00,-1.639890713101022612e+01
2.757084356245627887e+01,-2.176329792175566880e+00,-1.639686673162031028e+01
2.756925187724402093e+01,-2.174946073779793210e+00,-1.639809608425507648e+01
2.757143650748264818e+01,-2.175924441381344998e+00,-1.639682452762196974e+01
2.757013442126213576e+01,-2.177722167384361640e+00,-1.639793297957538698e+01
2.757048453051316628e+01,-2.177825552923300823e+00,-1.639565139730884624e+01
2.757079413146916380e+01,-2.173518451644215865e+00,-1.639932849863903641e+01
2.757017955951797461e+01,-2.175816700679596316e+00,-1.639749792077188317e+01
2.757018219785731716e+01,-2.176387620903399434e+00,-1.639818396005469836e+01
2.757023714137609360e+01,-2.174775528630222166e+00,-1.639968236390484435e+01
2.756914340126096263e+01,-2.175795190614911334e+00,-1.639760691937397752e+01
2.756774561046229977e+01,-2.175613824023480358e+00,-1.639878197787254166e+01
2.756955530732530946e+01,-2.174947556891371203e+00,-1.639835689149090925e+01
2.756869662107613550e+01,-2.177422546701925921e+00,-1.639993482347684051e+01
2.756971223363107981e+01,-2.176250596668998671e+00,-1.639776207062450553e+01
2.756978265712617926e+01,-2.176761999366290556e+00,-1.639532962451185227e+01
2.756893767959710573e+01,-2.176558466943443904e+00,-1.639678652625313049e+01
2.756940796743829836e+01,-2.176348653632999230e+00,-1.639647345176873117e+01
2.757003688814726061e+01,-2.177891354511936939e+00,-1.639839027332496357e+01
2.756948753761852089e+01,-2.177821858713464565e+00,-1.639837690849956076e+01
2.756990911786840570e+01,-2.174557985712384678e+00,-1.639599955768881756e+01
2.756903715283975131e+01,-2.175539106268469247e+00,-1.639964985678831155e+01
2.756767696200003925e+01,-2.177293877502169739e+00,-1.639847440694797243e+01
2.756997699141027525e+01,-2.179158528745823720e+00,-1.639887904536519514e+01
2.756779135142524240e+01,-2.177023379409060766e+00,-1.639806294980277457e+01
2.756903619173981212e+01,-2.174515886913038099e+00,-1.639892289227333322e+01
2.756827042789263871e+01,-2.175809434187685021e+00,-1.639778631034422318e+01
2.756984721725421394e+01,-2.176647905699762298e+00,-1.639720399265850403e+01
2.756966786819752002e+01,-2.176632335862934475e+00,-1.639952221457487269e+01
2.756814616913852944e+01,-2.176521555164404376e+00,-1.639704928352065494e+01
2.756842381756868932e+01,-2.178098690714162178e+00,-1.639669559258465270e+01
2.756986533072446832e+01,-2.176334229146488219e+00,-1.639668371173699413e+01
2.756971462928893146e+01,-2.177359980680686480e+00,-1.639768650360012359e+01
2.757082591168274277e+01,-2.177618939134587261e+00,-1.639562962661537782e+01
2.756887205757796266e+01,-2.175512796246280356e+00,-1.639810720314332571e+01
2.757038546151832037e+01,-2.177965848467444676e+00,-1.639670686727130899e+01
2.757170135917092679e+01,-2.175115926943572475e+00,-1.639916412914287847e+01
2.756947344797319133e+01,-2.178524962912872454e+00,-1.639641753257083678e+01
2.756920129174482526e+01,-2.177311977851432268e+00,-1.639761711018574530e+01
2.756920239198971956e+01,-2.177445764339235978e+00,-1.639859719580298147e+01
2.756988149142974720e+01,-2.176393490834836353e+00,-1.639612019055299896e+01
2.756908379163680678e+01,-2.174983385035251793e+00,-1.639751627588659844e+01
2.756810447725538538e+01,-2.177106615265547163e+00,-1.639623026637089254e+01
2.756945079747182348e+01,-2.176538623089269819e+00,-1.639983956745162530e+01
2.756900469030054879e+01,-2.175161557090049769e+00,-1.639855422686969177e+01
2.756962368111060258e+01,-2.174214924437145591e+00,-1.639720610280576452e+01
2.756888217504127070e+01,-2.177603941119838460e+00,-1.639563906690601769e+01
2.757174249472366157e+01,-2.175585921947245538e+00,-1.639730711567347399e+01
2.757033885465228451e+01,-2.175721906282813478e+00,-1.639956985844936099e+01
2.757064394082897252e+01,-2.175684558930562673e+00,-1.639612480251238225e+01
2.757116811982779936e+01,-2.177196905838701291e+00,-1.639719670352628711e+01
2.757052995097220816e+01,-2.176922642313841028e+00,-1.639779431265606036e+01
2.756872188519121281e+01,-2.175612006313750069e+00,-1.639894259362096207e+01
2.756915086200890386e+01,-2.175155476107820007e+00,-1.639975012470133464e+01
2.757030544245344572e+01,-2.176984705260415875e+00,-1.639799104912060912e+01
2.757148120523017099e+01,-2.176504890875815779e+00,-1.639829589737534477e+01
2.757083533093727468e+01,-2.177142995645900303e+00,-1.639591077027501598e+01
2.757016345674272273e+01,-2.176966284588547573e+00,-1.639921949652958943e+01
2.757001336411321546e+01,-2.175864046996622392e+00,-1.639697930172401286e+01
2.756835580961966059e+01,-2.176631720914822044e+00,-1.639753605674358639e+01
2.756924511739724792e+01,-2.175829081016827704e+00,-1.639847891346324005e+01
2.757001776012032224e+01,-2.177558857644190660e+00,-1.639867415367776715e+01
2.756803132150301749e+01,-2.175585839466363858e+00,-1.639719899253089253e+01
2.756983165524940915e+01,-2.174872088238604562e+00,-1.639817981812906922e+01
2.756758720924160144e+01,-2.177136830737683493e+00,-1.639770800057862132e+01
2.756945749745685958e+01,-2.177294279490662898e+00,-1.639720969717234667e+01
2.757076691431837290e+01,-2.176983810611649250e+00,-1.639949399574881994e+01
2.756713626905517245e+01,-2.176975856623128536e+00,-1.639672738745839098e+01
2.756786859031303649e+01,-2.176884255021192427e+00,-1.639879681613289009e+01
2.757053497347840576e+01,-2.174868206833989071e+00,-1.639847648106634637e+01
