Yaw (deg),Pitch (deg),Roll (deg)
-1.737114687966137677e-18,2.661791239930767716e+01,3.885493160233020188e-02
0.000000000000000000e+00,2.666919874932976242e+01,-1.061007156636311439e-03
1.740246477392886788e-18,2.682292789169441249e+01,-6.181993490711965716e-02
-5.434903546388920840e-20,2.675264955299322622e+01,-1.368545322416673095e-03
0.000000000000000000e+00,2.674843162605057856e+01,2.395462642091457806e-03
1.739337581049954715e-18,2.676365483050840410e+01,-3.332774088436409043e-02
-3.479253555089136830e-18,2.678253448195394881e+01,8.462958962650699024e-02
0.000000000000000000e+00,2.690166059260176468e+01,-5.122395390572812013e-03
1.741195028456004892e-18,2.688459218185639443e+01,-4.448602798882275028e-02
-1.743108088020536601e-18,2.700835859144935824e+01,-2.621116611011505351e-02
-3.484680495430373676e-18,2.695877854379402194e+01,-6.619711787921689350e-02
-8.712373665332611430e-19,2.696747161638513646e+01,2.047778455612665749e-02
-1.089983121552825786e-19,2.706405352309751322e+01,-2.014274888527753035e-03
-3.489498000856509591e-18,2.711388687670887165e+01,-6.676170372403467113e-02
-8.719217132612228193e-19,2.705572036891259913e+01,-2.227705268635009686e-02
0.000000000000000000e+00,2.700047495234716877e+01,-1.659473700933680523e-03
-4.359925709154058786e-19,2.706387921369363880e+01,-9.432879014654799860e-03
-8.717628855063009426e-19,2.703527508519290024e+01,1.046470940747384025e-02
0.000000000000000000e+00,2.702696894857728083e+01,-1.451315078193509897e-02
0.000000000000000000e+00,2.709556557920188880e+01,-9.989844329773545605e-04
-1.744327371034858795e-18,2.708682680175976643e+01,-4.488383215757760919e-02
0.000000000000000000e+00,2.694564022682961024e+01,-4.525589070663212088e-02
0.000000000000000000e+00,2.711571314472640282e+01,-1.258161101324238584e-02
0.000000000000000000e+00,2.706591229008143884e+01,-1.485772853138849284e-03
1.743900403019676477e-18,2.705938525304496167e+01,4.256111508672540816e-02
0.000000000000000000e+00,2.710467991813194288e+01,7.636938024169734329e-02
0.000000000000000000e+00,2.715112890915539978e+01,8.130953483849794050e-02
-1.745235712975560713e-18,2.714507673708701319e+01,3.538758025647237987e-02
0.000000000000000000e+00,2.704146401754006490e+01,-8.141637124520416380e-02
1.743770475231558760e-18,2.705102692250037677e+01,4.504227775776142861e-02
0.000000000000000000e+00,2.719512968797770824e+01,4.059535719831490475e-02
0.000000000000000000e+00,2.710642083984258832e+01,-7.092692304857287078e-02
0.000000000000000000e+00,2.717701566456996431e+01,5.732595250517857205e-02
0.000000000000000000e+00,2.705000690449272227e+01,1.188422910356060624e-01
0.000000000000000000e+00,2.715305747655266089e+01,8.979389924174040194e-02
1.745470926756102650e-18,2.716013178323809285e+01,4.350669856125670421e-02
0.000000000000000000e+00,2.716888622909684514e+01,-1.617572290778609154e-03
3.486883861581489371e-18,2.702987524279642173e+01,-8.507434369068350710e-02
0.000000000000000000e+00,2.727066430265479369e+01,1.126549957761546344e-01
-2.617334924440701339e-18,2.712292448345820617e+01,3.049152267913027639e-02
0.000000000000000000e+00,2.707657041701823530e+01,1.466113511989269869e-01
8.718493916043701786e-19,2.704641337692061143e+01,2.642865600226706330e-02
6.987520333103908419e-18,2.725008041475960852e+01,-6.138518634294596460e-02
-1.745982356002681462e-18,2.719282566421304281e+01,4.709802002786184216e-02
0.000000000000000000e+00,2.707433378828826065e+01,-1.007561047225861463e-02
0.000000000000000000e+00,2.718462025616171829e+01,1.227018615948393364e-02
0.000000000000000000e+00,2.708332975435073564e+01,8.045835935461764787e-02
-1.744216742314444668e-18,2.707972036916946834e+01,5.491236654095853209e-02
0.000000000000000000e+00,2.714139164942129057e+01,5.067763866996732522e-03
0.000000000000000000e+00,2.710412632074741879e+01,4.398193737102279281e-03
0.000000000000000000e+00,2.702135098543357117e+01,-6.247637678335692807e-02
3.490415679764052747e-18,2.714329191708737810e+01,-5.076657137070570563e-02
0.000000000000000000e+00,2.710469041101627852e+01,-4.559917200383558494e-02
1.091007393051967687e-19,2.716914470268681470e+01,-1.434205373956606595e-03
0.000000000000000000e+00,2.715249645811163859e+01,6.085110261247426988e-02
-6.977172925828053869e-18,2.708463406530356465e+01,1.479555363382850652e-01
-8.719987991560296783e-19,2.706563550866438916e+01,-2.228559286649184346e-02
8.726050318184975240e-19,2.714343431863422751e+01,2.368687231879983493e-02
3.489639987475169919e-18,2.711843946999143995e+01,-8.394430659837513742e-02
1.744943802906539795e-18,2.712637641426720592e+01,3.226929518922405649e-02
1.744897159445449178e-18,2.712338666008328047e+01,-4.478976567678900900e-02
8.725075545497065364e-19,2.713094610369448745e+01,2.094626499842448461e-02
0.000000000000000000e+00,2.706398025526220508e+01,-6.429886627314089498e-02
0.000000000000000000e+00,2.717007998162291926e+01,1.064842453735479096e-02
-4.363931171906459791e-19,2.716662742500776773e+01,-8.959859286673926490e-03
0.000000000000000000e+00,2.706628284542128426e+01,-1.001338705750381697e-01
-8.728259957772049524e-19,2.717171296842473538e+01,7.651847961785690835e-03
-3.491132986793040103e-18,2.716624524152621234e+01,-6.672490010474795008e-02
-3.487747540493631047e-18,2.705767224718570674e+01,-7.893044628973597265e-02
6.981036351704859492e-18,2.714657339637505729e+01,-1.019613830769948298e-01
0.000000000000000000e+00,2.705865294226844853e+01,-4.261949263700375024e-02
3.487743763579917848e-18,2.705755077684640852e+01,-6.242505148300930146e-02
-8.717971276583128695e-19,2.703968478387216479e+01,1.687688580547986109e-02
0.000000000000000000e+00,2.706656639443274415e+01,6.500105397357767989e-02
0.000000000000000000e+00,2.704710735063417459e+01,-6.426806783215247834e-04
3.487584059529275028e-18,2.705241378958615428e+01,8.081123071060734853e-02
0.000000000000000000e+00,2.715700494334815573e+01,3.478071415176414716e-02
0.000000000000000000e+00,2.715286984204739440e+01,4.369167145577933925e-02
1.743995616308789054e-18,2.706550807393905700e+01,6.064732955526833807e-02
0.000000000000000000e+00,2.707493856624795825e+01,-1.138903751355286736e-01
4.359333588332939641e-19,2.704864345856644192e+01,1.220298013745545369e-02
0.000000000000000000e+00,2.715486187248242445e+01,4.665423024679917104e-03
-1.743419825056217714e-18,2.702845124048007364e+01,3.830678189449328308e-02
-1.744460437572329259e-18,2.709537109132708110e+01,5.625530244631808674e-02
1.744484160385789266e-18,2.709689395028021863e+01,3.267572468259059143e-02
3.490512062955301411e-18,2.714637770365860092e+01,-4.964330911531814050e-02
1.091102947472567833e-19,2.717891948025685878e+01,3.586989734786525091e-03
0.000000000000000000e+00,2.707251711928635274e+01,-4.800462460901305101e-02
-3.490426876232079116e-18,2.714365040654365302e+01,1.219496511405737948e-01
-6.976607931889813632e-18,2.707555921919967545e+01,1.104713118468700628e-01
1.744073261225764344e-18,2.707049969412909007e+01,2.517604593581607500e-02
2.180150580003219692e-19,2.707353362335933511e+01,7.264189964350212421e-03
1.745075631656907344e-18,2.713482386807485369e+01,4.288487097672116777e-02
-3.484122536779452953e-18,2.694073288792219145e+01,-6.562036754659886229e-02
0.000000000000000000e+00,2.706626431683805123e+01,-1.006537785775410594e-02
0.000000000000000000e+00,2.715888436976751663e+01,3.897660391814829553e-03
-3.486843839303179452e-18,2.702858617418539566e+01,-7.938973223942109858e-02
-2.182507193522690696e-19,2.719432014195473002e+01,-5.781394209994230801e-03
0.000000000000000000e+00,2.712582904043889798e+01,1.087913832451178481e-01
1.745172959541264596e-18,2.714105816334075882e+01,4.416482347041601753e-02
3.490037262625505232e-18,2.713117179820678260e+01,6.667707050286808546e-02
-6.976225829873558759e-18,2.706941952752317704e+01,9.215082706511006083e-02
-3.489008243706590860e-18,2.709817526054941794e+01,1.177945201087314125e-01
-6.978176683312853510e-18,2.710074571419854195e+01,-1.443933661730389673e-01
-6.981220225535944991e-18,2.714951634110821388e+01,7.574689128080579203e-02
0.000000000000000000e+00,2.713259163200591217e+01,8.318515372121516871e-02
-4.362432666006536039e-19,2.712825190981707024e+01,1.215792875647767404e-02
3.489764450483170266e-18,2.712242930881281566e+01,6.367553803896111586e-02
0.000000000000000000e+00,2.720360459661078067e+01,-1.478764124383201688e-04
8.727373791054779359e-19,2.716037692116982782e+01,-2.975994300911257232e-02
-6.978671487934724259e-18,2.710868302799142171e+01,-1.337560349967563122e-01
-8.730442915768815220e-19,2.719960944018416171e+01,-1.804249815214170258e-02
-6.987998929997580871e-18,2.725769850932493910e+01,-1.398564348607356789e-01
-1.743409166317111334e-18,2.702776459048784830e+01,-4.387179986464057047e-02
3.490039079368185592e-18,2.713123000391297168e+01,-5.288729814758094672e-02
1.746257596645584009e-18,2.721039789627866767e+01,3.598724947188993578e-02
0.000000000000000000e+00,2.709840523463957851e+01,-2.448701546794372977e-02
-6.979725791696419567e-18,2.712558452938587905e+01,-1.375017174374413842e-01
-1.090550401359934102e-19,2.712232782421749633e+01,3.221286949408122720e-03
0.000000000000000000e+00,2.706366147502555819e+01,-7.361865529174982381e-02
1.745532306395704753e-18,2.716405850044943548e+01,3.290779712746275121e-02
1.746000002695735113e-18,2.719395276577342457e+01,5.813823288499393033e-02
3.491509434458426392e-18,2.717828036698470129e+01,6.188664642948660949e-02
-3.491176777843310708e-18,2.716764563887972628e+01,-7.958382327691879143e-02
5.451173872825787950e-20,2.708992657755009503e+01,1.861516394949025216e-03
0.000000000000000000e+00,2.704506237026884463e+01,-6.692734923958891524e-02
0.000000000000000000e+00,2.708067549405843977e+01,-8.517640679310406471e-02
-8.737471100068487080e-19,2.728915076668359418e+01,1.371939498970561888e-02
8.724427084816456261e-19,2.712263391687952918e+01,-2.939444532813757088e-02
4.360980431417278025e-19,2.709098822458565436e+01,-1.046159554850317232e-02
0.000000000000000000e+00,2.708997451796313882e+01,5.471323437365990805e-02
0.000000000000000000e+00,2.719816690749857457e+01,6.313053733681407709e-02
0.000000000000000000e+00,2.702792210166336417e+01,3.143482052269417487e-02
0.000000000000000000e+00,2.716344557200227072e+01,-6.245957253690325589e-02
0.000000000000000000e+00,2.699896442124276774e+01,4.714049340966969953e-02
0.000000000000000000e+00,2.700139075909963537e+01,7.129151700827371374e-02
0.000000000000000000e+00,2.716278886697596562e+01,-1.071351099842247911e-02
0.000000000000000000e+00,2.721127836325790739e+01,8.044676479095065613e-02
-1.744483401595132387e-18,2.709684524244532255e+01,-3.775897220275978294e-02
0.000000000000000000e+00,2.717261372190505497e+01,4.387495221305091897e-02
8.714784776083309666e-19,2.699860993618343130e+01,-2.400152945033328516e-02
-1.744934193412642699e-18,2.712576050257399629e+01,5.631276583314570594e-02
0.000000000000000000e+00,2.714647443580701847e+01,-2.192633900436979574e-02
1.746121839620576986e-18,2.720173274178840472e+01,2.566834560026193604e-02
3.487727059524934275e-18,2.705701354403406711e+01,7.022531907029946896e-02
0.000000000000000000e+00,2.710040084311223652e+01,1.012049930278598880e-01
-6.981433312665882359e-18,2.715292628911110739e+01,-1.375707324711317459e-01
1.745180088245378106e-18,2.714151471004147709e+01,-2.432630068209098648e-02
0.000000000000000000e+00,2.711536960495611481e+01,2.999518856985296938e-02
0.000000000000000000e+00,2.706753764618832392e+01,1.308091110521322209e-01
