accel_bias_x (m/s^2),accel_bias_y (m/s^2),accel_bias_z (m/s^2)
-7.232617915240281779e-05,9.999997270801136429e-02,-1.507716134336992501e-05
-2.906993619474986209e-05,9.999999502305072230e-02,-1.226085799949886133e-05
1.399529289313722715e-04,9.999990202690070551e-02,-2.790688845845078316e-06
2.688920749618034880e-04,9.999963839053443992e-02,4.337554163041539812e-06
2.863515171320092623e-04,9.999958989094741291e-02,4.944791933269707923e-06
1.106701724045859375e-04,9.999993863453197906e-02,-5.020237017381076462e-06
-3.368046430594500459e-04,9.999942836531101886e-02,-2.982018519151072246e-05
1.487901078417262345e-04,9.999988927276333428e-02,-2.634175652810662091e-06
1.308222486425843613e-04,9.999991436167519898e-02,-3.632752224486811952e-06
-2.958402841602614697e-04,9.999955857160869321e-02,-2.764072491259614693e-05
1.959381473456257383e-04,9.999980803953323338e-02,5.467358018796288388e-07
4.329411874440266097e-04,9.999906187309212657e-02,1.365392645424203911e-05
3.200285672336078283e-04,9.999948763183875988e-02,7.421986262379621297e-06
1.436309065510044092e-04,9.999989682559452808e-02,-2.243464489239111926e-06
-2.899350169042382849e-05,9.999999506996255783e-02,-1.205754224823386337e-05
-3.495651323475006123e-04,9.999938456102652751e-02,-2.986024403431280616e-05
4.062714716369039431e-04,9.999917389347405539e-02,1.281070149187409948e-05
9.583778156731257521e-05,9.999995399044120381e-02,-4.126652875385788849e-06
5.412565110095242426e-04,9.999853302991976167e-02,2.081473840622673858e-05
8.052785783313334085e-05,9.999996745063960413e-02,-5.013494973413943965e-06
-2.553527001388883571e-04,9.999967100283138621e-02,-2.437876160059535986e-05
1.586382499939269078e-04,9.999987416701607013e-02,-6.975623708198687878e-07
-6.011876991535850722e-05,9.999998106469752679e-02,-1.314509957962117923e-05
2.609056652804183436e-05,9.999999627515950007e-02,-8.015636169714389475e-06
2.871212392458729408e-04,9.999958760155838733e-02,6.396266635946839954e-06
1.885798746560991195e-04,9.999982218633157727e-02,5.770125057397274099e-07
-3.867531675772537721e-06,9.999999933903078175e-02,-1.082755937032956283e-05
-5.928262043973686515e-06,9.999999925070665596e-02,-1.071047986691588975e-05
-2.641581792948586509e-04,9.999964780488740379e-02,-2.567790467108071201e-05
-2.198085244892298727e-04,9.999975551979378707e-02,-2.408721729329617471e-05
-2.021968743748439861e-04,9.999979272469156077e-02,-2.390486810734033621e-05
-3.304730787032508310e-05,9.999999349415648886e-02,-1.445835762836371548e-05
2.044840212099033837e-04,9.999979092237983036e-02,-1.328679690184106102e-06
5.393565564229216855e-04,9.999854391432554113e-02,1.759317340713176885e-05
-1.144957972372784120e-04,9.999993253113891034e-02,-1.960816361024203254e-05
6.153484718786776165e-05,9.999998058774541010e-02,-9.793524533284578794e-06
-3.519993660270857860e-04,9.999937478135309532e-02,-3.376069901013932398e-05
9.256998296631292018e-05,9.999995675826309216e-02,-8.896278290727484069e-06
-2.032167666743368232e-04,9.999979015443258290e-02,-2.592325578928676393e-05
4.822285833796764401e-05,9.999998767086004658e-02,-1.184836592746775753e-05
-2.792194682253582093e-04,9.999960554864087414e-02,-3.044018393898931111e-05
9.017598407182213417e-06,9.999999861948929980e-02,-1.395654181775373363e-05
-6.720476222452808528e-05,9.999997564076035239e-02,-1.885118762032313673e-05
-4.172004495188867440e-04,9.999912233549221319e-02,-3.841765457984045351e-05
-2.456284418209214710e-06,9.999999890172234229e-02,-1.461582016543996594e-05
-2.865275817894754988e-04,9.999958483150987731e-02,-3.058546281368096722e-05
-3.342192551276505254e-04,9.999943605456915185e-02,-3.295842286489929760e-05
-4.211509184103299011e-04,9.999910593873907738e-02,-3.799153540045011930e-05
-1.949886683142586132e-04,9.999980671708115498e-02,-2.521835923195013703e-05
-2.703664626802908559e-04,9.999963026087019258e-02,-2.914901562578827614e-05
3.606681892962318708e-05,9.999999288571055633e-02,-1.104728076687156894e-05
2.215910810444500544e-04,9.999975448642682563e-02,-2.171687364783514800e-07
-3.181030327066009233e-05,9.999999379753744810e-02,-1.511942724785662970e-05
2.816460407293872904e-04,9.999960333786167554e-02,2.788918524218179548e-06
1.024911555082128251e-04,9.999994714750772007e-02,-8.127650536520778993e-06
1.362958370503657157e-04,9.999990691547955279e-02,-6.351395940276053933e-06
2.022714529139702866e-04,9.999979539995233757e-02,-2.495397454872108663e-06
-4.692018756567355262e-04,9.999889080811175113e-02,-4.107002830943791508e-05
1.594783317194891508e-05,9.999999786301966287e-02,-1.315532901991015679e-05
-1.466150455751987034e-05,9.999999769853888665e-02,-1.566309366276106852e-05
1.148109901432585553e-04,9.999993374879327657e-02,-8.286947490785699630e-06
1.823133535462151996e-04,9.999983368862609689e-02,-4.907977059655286034e-06
9.153238709112097448e-05,9.999995758924373757e-02,-1.019664483881906068e-05
-2.250327544280640568e-04,9.999974267064044853e-02,-2.874134873207564826e-05
-2.173829858379179320e-05,9.999999611954263345e-02,-1.742233723148616482e-05
-2.218939059262311380e-04,9.999974942519877785e-02,-2.963092933688743646e-05
4.328075942658437332e-04,9.999906297358046592e-02,9.054956308103737000e-06
3.922623599016007018e-04,9.999923035083015110e-02,7.712497364263640304e-06
6.413279637961973587e-05,9.999997881177598302e-02,-1.116372623742369492e-05
-5.136229693360050922e-06,9.999999869707165701e-02,-1.530375155132826341e-05
1.308555974292863872e-04,9.999991408095088019e-02,-7.785567531636878677e-06
-2.882938619260177679e-04,9.999957931587905025e-02,-3.198900425998098712e-05
-7.238533826971960052e-05,9.999997191607157276e-02,-1.942029100001359634e-05
-1.947214570978822852e-05,9.999999669425978233e-02,-1.679236663510198248e-05
-3.413387402539904878e-04,9.999941110967892899e-02,-3.557501687648567315e-05
-5.627172852138898453e-05,9.999998239607500727e-02,-1.882225431528704396e-05
3.836641433792661198e-04,9.999926378371068458e-02,6.673899536048067184e-06
1.339913593536016970e-04,9.999990987923840224e-02,-8.394034631117634627e-06
2.208183696970439326e-04,9.999975614400118118e-02,-3.223027131724449225e-06
3.202068864957502512e-04,9.999948729695699867e-02,2.809907158125730931e-06
4.178702359194321381e-04,9.999912657985526865e-02,8.229946474004331297e-06
-5.910511724428813615e-04,9.999824054765218961e-02,-5.045676806589028665e-05
2.560981438950778329e-04,9.999967206436954914e-02,-8.713458009303510669e-07
2.846251580711264394e-04,9.999959493953497480e-02,6.695694665642237883e-07
1.108264704443780631e-05,9.999999817819692216e-02,-1.554141400556665473e-05
2.092302382561894909e-04,9.999978103478557312e-02,-3.962617783589738856e-06
-3.738462226348563224e-05,9.999999121492728071e-02,-1.895796631982709539e-05
-1.525241298830257673e-04,9.999988022010382338e-02,-2.631263367122488230e-05
-5.508486171945736016e-04,9.999847103451239838e-02,-4.854442006525789530e-05
-1.047368870797589816e-04,9.999994265631745316e-02,-2.233646580501584701e-05
-5.703386685263215272e-04,9.999836118049962308e-02,-4.974954805898463000e-05
-2.053909411662398427e-04,9.999978509447018937e-02,-2.820675567747835669e-05
-2.395458786259969074e-04,9.999970845511060857e-02,-3.044117133818405351e-05
1.015097073193587437e-04,9.999994791524013937e-02,-1.061737160105641746e-05
-1.311062986462841905e-04,9.999991109152359114e-02,-2.434801497892178740e-05
-5.666365005150449108e-04,9.999838195164562071e-02,-5.030038845842070669e-05
-2.533078464436280242e-05,9.999999506249929171e-02,-1.859708214382606499e-05
-3.216100300951411743e-04,9.999947641433773460e-02,-3.583080874466820694e-05
8.912221903749321266e-05,9.999995960134502870e-02,-1.170296696376684532e-05
1.858367950363328707e-04,9.999982714400856842e-02,-5.987822293597225943e-06
2.009463463901528860e-04,9.999979798568024714e-02,-4.836219013696517525e-06
-3.417991518112660845e-04,9.999940919716486520e-02,-3.651791068844512220e-05
-2.889637310954638091e-05,9.999999419967101066e-02,-1.802956983851000298e-05
-2.951671956537118072e-04,9.999955864205317679e-02,-3.387803387358346620e-05
-3.658963300469947745e-04,9.999932321539835300e-02,-3.842314340958255710e-05
1.529263740585055912e-05,9.999999754179537959e-02,-1.605540909388993294e-05
-1.503466820878087470e-04,9.999988367471852879e-02,-2.570832450634077634e-05
-7.764330933788905959e-05,9.999996755540051241e-02,-2.145775757762245523e-05
1.726777219799922436e-04,9.999985065508619486e-02,-7.166923371618216435e-06
2.036818397128344667e-04,9.999979241634210370e-02,-5.513316469876680511e-06
8.296274955679436866e-05,9.999996479945615080e-02,-1.254151984709681566e-05
-2.784365323533959189e-04,9.999960663207843603e-02,-3.386040500231876854e-05
1.445715261540406334e-04,9.999989512413608173e-02,-8.616008976041904965e-06
2.376233884252312812e-04,9.999971761930395719e-02,-3.344359937477145466e-06
-7.940757144904106186e-05,9.999996604201201456e-02,-2.204617970720398429e-05
2.701326489434631157e-04,9.999963512970903856e-02,-1.508985339401101382e-06
-1.855143952387672919e-04,9.999982371169441331e-02,-2.901791172304582522e-05
1.291297660424448805e-04,9.999991609801170411e-02,-1.029048795728474138e-05
-1.330829147183327328e-04,9.999990808683106858e-02,-2.591453556611121741e-05
1.772982665666904289e-04,9.999984254858207411e-02,-7.455432016893396041e-06
-1.236284181302938737e-04,9.999992042451505414e-02,-2.512180106949690525e-05
5.942576443732468038e-05,9.999998132661773453e-02,-1.425673963005019114e-05
2.307062399392630211e-04,9.999973376112764045e-02,-4.725932928118366873e-06
3.487653608553696865e-04,9.999939179482920937e-02,1.840465130486790607e-06
-5.704160671189640545e-04,9.999835935385847918e-02,-5.245995576985621053e-05
-1.348108828527542461e-04,9.999990557839716354e-02,-2.665215785919129317e-05
7.361832067730611929e-05,9.999997182799065520e-02,-1.465414405346419570e-05
4.634158177294856948e-04,9.999892586117117843e-02,8.508341132405152849e-06
-2.125208168995051852e-04,9.999976902624296837e-02,-3.208738757755260490e-05
-1.836107864802438987e-04,9.999982675966540002e-02,-3.057966638536205913e-05
-5.447473920577067144e-05,9.999998246220022369e-02,-2.323924344437570044e-05
-2.075117746224414801e-04,9.999977962691687650e-02,-3.183443816048582678e-05
9.086569587299016292e-05,9.999995767610633801e-02,-1.442921541005701173e-05
1.000903750697068929e-05,9.999999765134151564e-02,-1.922370574564003106e-05
-3.382077527815530448e-05,9.999999184378204065e-02,-2.207710768639193407e-05
-7.480121885778969707e-05,9.999996900577468040e-02,-2.456871512984015087e-05
2.790265844197967172e-04,9.999961066828461087e-02,-3.218180528410021166e-06
4.048974577191367182e-04,9.999918019682196846e-02,4.244085571607143068e-06
-8.456467579153590275e-05,9.999996109841161052e-02,-2.508249934566953088e-05
-8.737546393810510575e-05,9.999995856015925222e-02,-2.556354306041769910e-05
9.818138482248397862e-05,9.999995074474349321e-02,-1.454182076113706907e-05
6.565863547746387217e-04,9.999784259652087781e-02,1.924578296008193397e-05
2.024733026943225940e-04,9.999979473058724644e-02,-7.642127386488429785e-06
1.330693489425841198e-04,9.999991070834890472e-02,-1.228294013985414186e-05
-2.818077613879188797e-04,9.999959583628120763e-02,-3.764260926632857399e-05
3.334904148038414561e-05,9.999999268293165156e-02,-1.874179955241207383e-05
-3.775846022609466619e-04,9.999927754272640301e-02,-4.382694274972910944e-05
2.716646667581211743e-04,9.999963088824770363e-02,-4.530237240689875976e-06
1.549937108973539757e-04,9.999987922237166260e-02,-1.150915569836541243e-05
-2.126283313321193451e-04,9.999976851485428697e-02,-3.295706713274607481e-05
-2.037970291582369149e-04,9.999978725437146110e-02,-3.187242309095771102e-05
1.629743317616853728e-04,9.999986672153798883e-02,-9.748939726660787617e-06
-3.268296087485933607e-04,9.999945811454546973e-02,-3.948675871830355780e-05
-1.082156855429411603e-05,9.999999738624298917e-02,-2.014063180504718735e-05
3.443047716318070909e-04,9.999940725270733966e-02,1.825216129230279110e-06
-2.660721988767003826e-04,9.999963968651094659e-02,-3.561113545335416230e-05
-1.994402912355616557e-04,9.999979620749663289e-02,-3.133734796095434961e-05
-4.476546531790286262e-04,9.999898725563426127e-02,-4.640214416467739562e-05
1.045118510021252300e-04,9.999994451120254590e-02,-1.322986818609987340e-05
-1.218372870993302435e-05,9.999999722487737386e-02,-2.016386057178610713e-05
-3.484539170168013400e-05,9.999999159315392516e-02,-2.161406538405785836e-05
7.323948213222030804e-06,9.999999792148941968e-02,-1.902792409840651941e-05
-4.732746499193033884e-05,9.999998624531769575e-02,-2.260635594616038416e-05
8.334551073436267531e-05,9.999996422037661647e-02,-1.447236117920624958e-05
-2.487940135236655216e-04,9.999968448065861548e-02,-3.471753966497925558e-05
-2.355482672996118900e-04,9.999971678283561816e-02,-3.406415179716381898e-05
-8.338082953335717088e-05,9.999996212970357901e-02,-2.493381473036645430e-05
-3.971092833397397920e-06,9.999999792148134281e-02,-1.999835365133304524e-05
-5.402864345017275227e-04,9.999852669437542252e-02,-5.243589402309717980e-05
-3.044938935857627576e-04,9.999952909933312872e-02,-3.825415526955305053e-05
-4.253689913710157942e-04,9.999908486240113858e-02,-4.569358244476412213e-05
-1.944940938319879677e-04,9.999980572410176183e-02,-3.204979517769603232e-05
3.693965100991414459e-04,9.999931770015246801e-02,2.392133136829932478e-06
1.040492101929349359e-04,9.999994503449337324e-02,-1.291743640067715805e-05
-1.062436495966287588e-04,9.999994007660845119e-02,-2.640003104340299088e-05
-1.146737286982048499e-04,9.999993066018814103e-02,-2.679353489262483433e-05
2.334807954013069873e-04,9.999972725355410486e-02,-5.994411195555803328e-06
3.287036404293424113e-05,9.999999307443724339e-02,-1.745427365436043565e-05
-1.863213898558109169e-04,9.999982176971314307e-02,-3.050188992556880540e-05
3.549940865361108608e-05,9.999999225661530822e-02,-1.698437122534229415e-05
2.707881346105378280e-04,9.999963332505897029e-02,-2.939372196519409617e-06
