q0 (),q1,q2,q3
9.996248266590639364e-01,4.011546865543596298e-05,2.738985479915954230e-02,-1.310215935420636882e-05
9.996239397343864574e-01,4.024276865682231328e-05,2.742220457111212498e-02,-1.367053483199169734e-05
9.996231918017481899e-01,4.223854790407034423e-05,2.744945123849266977e-02,-1.595920338749099294e-05
9.996223927989301705e-01,4.299526528180808762e-05,2.747853032325007008e-02,-1.837452001185767831e-05
9.996216733785214803e-01,4.379666110760876675e-05,2.750468629734255030e-02,-2.062672679328339214e-05
9.996209520968716289e-01,4.526595397970698535e-05,2.753088406034824229e-02,-2.242304373911478633e-05
9.996202596252583561e-01,4.694733207842409495e-05,2.755601362327995268e-02,-2.135117771243430287e-05
9.996196058469082324e-01,4.887079856667550520e-05,2.757971581541275238e-02,-2.221841975542397847e-05
9.996189027931671189e-01,5.057164776827480468e-05,2.760518428011285441e-02,-2.054152413040368557e-05
9.996183565069960419e-01,5.158334588905919270e-05,2.762495661303336972e-02,-2.110779000195205253e-05
9.996178381713367589e-01,5.132776000768978251e-05,2.764370700094564634e-02,-2.093729466591318016e-05
9.996172661674878057e-01,5.140560674637558130e-05,2.766438153081640303e-02,-2.306119922437822742e-05
9.996166637606261895e-01,5.220276442340775783e-05,2.768613662645083573e-02,-2.540960974876373826e-05
9.996161901672374617e-01,5.171884880464197202e-05,2.770323436089092498e-02,-2.205999712156419060e-05
9.996156428476991040e-01,4.961927559317887317e-05,2.772298065878827517e-02,-2.134247646739629927e-05
9.996152236848532269e-01,4.964906658378634132e-05,2.773809272338267559e-02,-1.801444094470762078e-05
9.996146632088732664e-01,5.040507995292396357e-05,2.775828235661088883e-02,-1.782552913095521372e-05
9.996142320845921025e-01,5.207232323912516905e-05,2.777380124299088510e-02,-1.633766221701184060e-05
9.996138169149904051e-01,5.239290724359156820e-05,2.778873656829254635e-02,-2.018824916216680740e-05
9.996132302283660120e-01,5.211681469673577391e-05,2.780983320756578656e-02,-2.032773863879116347e-05
9.996128407247788505e-01,5.172543232876208131e-05,2.782382893689846690e-02,-2.293268255270972897e-05
9.996124247527936602e-01,5.434159064153939415e-05,2.783876548210936427e-02,-2.152357427606061148e-05
9.996120549907591135e-01,5.240825367057178199e-05,2.785204488839468709e-02,-1.913272913248042185e-05
9.996116310165088503e-01,5.339100141660586417e-05,2.786725766557183667e-02,-1.536608365964661844e-05
