accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.418514968053912639e+00,-2.546702925053955181e-06,-9.780331568826239774e+00
9.476648682783187283e+00,6.372940060367303611e-06,-9.780321664722860575e+00
9.528988374225724201e+00,-7.129602418760104053e-06,-9.780317655810588207e+00
9.576083161001506028e+00,-2.045432068188119456e-06,-9.780313212903795517e+00
9.618479794636412450e+00,1.511151338648542329e-06,-9.780326073758878636e+00
9.656634468523558112e+00,-1.575449125305334193e-07,-9.780322138486059913e+00
9.690963355585145322e+00,5.763257482612719788e-07,-9.780324230754773751e+00
9.721862500189352829e+00,1.995928664200634607e-06,-9.780322099067502606e+00
9.749692216118123866e+00,6.571901486233826214e-06,-9.780334209081180674e+00
9.774713555343371496e+00,4.200658390244983434e-06,-9.780322494506322073e+00
9.797239497533947628e+00,3.527184890391699706e-06,-9.780323454077393563e+00
9.817523706737864231e+00,4.637000714887226858e-06,-9.780319845891451536e+00
9.835764155698518252e+00,1.584455856712677631e-06,-9.780318978962634802e+00
9.852186358284690471e+00,-7.751653940723375491e-06,-9.780328240423528996e+00
9.866976379861199575e+00,-1.334092269500821652e-06,-9.780325020767428157e+00
9.880277787441626103e+00,5.584503407040973348e-06,-9.780318450159686705e+00
9.892241627354799505e+00,2.495161164141828465e-06,-9.780329144264559460e+00
9.903026065146221413e+00,-9.992133394142199703e-07,-9.780325303704572093e+00
9.912718694770838113e+00,-9.055749033422135660e-07,-9.780320921833288494e+00
9.921446140607315556e+00,-3.109449520366554772e-08,-9.780323582586751385e+00
9.929311055548232900e+00,-7.373406231979374057e-07,-9.780328727139936618e+00
9.936374053836807718e+00,6.349258363112921538e-06,-9.780326054374519629e+00
9.942733495860837323e+00,-5.028261656048729409e-06,-9.780323562830073314e+00
9.948462201177937558e+00,1.762608473786560934e-08,-9.780327294811749894e+00
9.953619756118170514e+00,-2.362700110249131477e-06,-9.780321480224332120e+00
9.958249288568218560e+00,7.719857890214378016e-06,-9.780321406692580766e+00
9.962428965580000906e+00,2.139012510419219092e-06,-9.780324065385970655e+00
9.966173761831505828e+00,-3.693638663926183676e-07,-9.780329754739209847e+00
9.969571581562503226e+00,-3.279896618514681725e-06,-9.780316781390359537e+00
9.972603851386226737e+00,-4.169855990525114162e-06,-9.780325312659300607e+00
9.975348748481692951e+00,3.441658472197774290e-06,-9.780315555535091576e+00
9.977807332397983231e+00,-3.360363601498756758e-06,-9.780323508944521294e+00
9.980031075514403938e+00,2.283477930278358762e-06,-9.780326643936822606e+00
9.982024233816122916e+00,-1.484341709478519320e-06,-9.780324251956157511e+00
9.983832729504518610e+00,1.988114036058975684e-06,-9.780322849024482679e+00
9.985438579853619601e+00,5.259717206068819482e-06,-9.780322947019449487e+00
9.986897754544200367e+00,1.908886982265947646e-06,-9.780316941168706535e+00
9.988204748796942312e+00,-3.345695842894770831e-06,-9.780323451355355857e+00
9.989388610271561220e+00,-7.688576594107254670e-06,-9.780315800452584085e+00
9.990448338998936251e+00,6.069168234285605133e-06,-9.780322181490308964e+00
9.991408649264229780e+00,-1.531001180872195838e-06,-9.780315800147478811e+00
