gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
2.998185005936119651e-03,-3.816508953012110773e-05,-3.031701869408903072e+00,8.114549205345981875e+01,-3.563462840128336917e-02,-1.664625468426959637e-03
3.110145634225565218e-03,3.203638151853685848e-05,-1.512802727885804055e+00,8.222041677761569645e+01,-1.698997225285884746e-02,-5.064953460399199137e-02
3.168565604339093449e-03,-6.272482334331472786e-05,-3.074105363024651094e+00,8.304972279219005316e+01,-5.535021198829780803e-02,5.238829033097822802e-02
3.104002674238555415e-03,-6.723330634621495455e-05,-9.910591530199813093e+00,8.400478837340826033e+01,-2.145618269962056013e-02,9.827825108233335591e-03
3.281895233185649560e-03,3.597900794864291940e-05,2.971329836773375366e+00,8.514391206166094150e+01,-7.769509057999102186e-02,5.849488699834867050e-03
3.295724441296624552e-03,-2.537547720638724661e-05,4.197974790345110563e+00,8.618667863084158398e+01,-5.949322342471907721e-02,-1.295520879721907825e-02
3.377173552369648959e-03,-3.215405845452845330e-05,-8.765630188085010488e+00,8.716145461040763109e+01,-1.550207053178211895e-03,4.214130869198685903e-02
3.470338304215735397e-03,-1.124367054473289084e-04,-1.009922642357247113e+01,8.804232559746421316e+01,-1.679914719276057178e-02,-3.743925531483496827e-02
3.550806219726973696e-03,-3.769507480757647869e-05,-7.483460285569196735e+00,8.917231101263385540e+01,-3.165669758496406777e-02,1.861852965627935202e-02
3.700743077910393242e-03,4.580876909692623369e-05,4.219078439601126718e+00,9.011825863493065469e+01,-1.188442025181274224e-02,-3.201103544181878313e-02
3.735451651903627310e-03,-1.948951028616065988e-05,2.384843687744976570e+00,9.110217122591734551e+01,8.060343642216220503e-03,-5.770315501550182108e-02
3.802606408726095979e-03,6.179382854489019067e-05,-3.705433519736536230e+00,9.205453769157918487e+01,-7.827042103682277374e-02,-1.136538130772669630e-01
3.891158007206157142e-03,-2.757541983378884064e-05,-2.448940290607292791e+00,9.309239587926983006e+01,-7.049692173585454802e-02,-2.184237170914327467e-02
4.012162331726077703e-03,-1.077623356386945914e-05,-1.338843239383403549e+00,9.408859624651304898e+01,-1.473812423912958247e-02,1.181828443015161580e-02
4.111508626905424103e-03,4.635991648679093274e-05,-7.048232240859707787e+00,9.511065104897014066e+01,-1.735437777431649356e-02,-8.138568352799800329e-03
4.178990665479328376e-03,3.312076856195128528e-05,-1.375777308550208389e+01,9.609544719075839225e+01,2.597248246905464394e-02,-3.680908167904138606e-02
4.345616074093952390e-03,-7.154331880127859150e-05,7.423507103913716598e+00,9.704352142496155409e+01,1.865221421794140133e-02,-1.194617131395279835e-01
4.393455130965639478e-03,3.676144211749158604e-05,4.936549291899192227e+00,9.811028038101699167e+01,-3.359043094992188866e-02,-1.659366560848089464e-02
4.446157455220567031e-03,1.339932456277330098e-05,7.600933397001390368e+00,9.903798161099757635e+01,-1.877979927349247629e-03,-9.940365395460228071e-02
4.501357697126604808e-03,4.568812410577611870e-05,6.956130587246364350e+00,1.001213202577465324e+02,-7.258805175260745271e-03,2.253218932338994784e-02
4.603076147642622303e-03,4.850819040244988686e-05,2.559905315507431389e+00,1.011908315872575628e+02,-1.697275689207445315e-01,-2.899416982369485817e-03
4.757804649168994628e-03,-4.936135923364937567e-05,-1.115669965187062473e+01,1.020969195755120040e+02,-1.441139626807521820e-03,-8.171340961879539067e-02
4.836693158387626347e-03,-3.237869000159825783e-05,-3.420533470461358583e+00,1.030468385026071019e+02,-1.461024022543666590e-02,-7.074551349832926272e-02
4.897200914237720241e-03,1.856633202216694672e-05,-4.490114655922465836e+00,1.039911436948024743e+02,-7.038232708357777812e-02,2.397186263895784153e-02
5.065530588966032574e-03,-1.880743064689803631e-05,9.386352138385516852e+00,1.051255452497284040e+02,3.912387640217580473e-04,-7.152818322199973322e-02
5.102674545753082234e-03,2.210138163195974828e-05,-4.170969028265109735e+00,1.061372520922541298e+02,-1.885815894892588912e-02,-1.717993364428231987e-02
5.211232782166491835e-03,-1.708403287963076149e-05,6.391525138696484198e+00,1.070531952664996567e+02,2.225046648599299237e-02,-3.084142837567053694e-03
5.319423394764629179e-03,-3.400270162770903414e-05,-2.978138144753763594e+00,1.080255506733765856e+02,-1.522056429380256540e-03,4.342260655343376657e-02
5.373289669283799232e-03,2.100878470830213785e-05,-9.607559247739846597e+00,1.091215983322654353e+02,4.891900693298184555e-02,-2.082911549407222285e-02
5.437920767672194643e-03,3.957815427355379734e-05,-5.864322503974356948e+00,1.100458299231198822e+02,4.012328225042356700e-02,1.171697624496532454e-02
5.589149653682513354e-03,4.666205825211127999e-07,-1.038288334852431127e+01,1.110911545149169797e+02,2.982069453976250034e-02,-2.748975546219736832e-02
5.652876729486157499e-03,-2.282679207859335588e-05,3.160233642050909175e+00,1.121235695687530978e+02,1.709054799303848585e-03,2.609136294706186632e-02
5.845956936155414715e-03,8.436514953425118172e-06,-1.703581928246332922e+01,1.130670857049905038e+02,1.988214153106241527e-02,3.341409849482143094e-03
5.905938746231186552e-03,-4.798977086986502914e-05,5.407909453259727606e+00,1.141572982308008761e+02,-3.200708603485501874e-02,-6.348513562407641364e-03
5.945449066048955587e-03,-7.920108022014554856e-06,7.875739853645150390e+00,1.150590256618392289e+02,2.245493049287301812e-02,-5.135545703812791074e-02
6.079900249703468901e-03,-2.149385264777787865e-05,-7.920934939746667069e+00,1.161022545866726290e+02,-5.105751573036612645e-02,5.530766304511783304e-02
6.196891804308544624e-03,9.865086395200344308e-05,7.342161733478843599e-01,1.170303163925304517e+02,-8.899414481717589365e-02,2.148122741403012126e-02
6.321654380519793094e-03,-1.585735207551010431e-05,-3.872871940361393595e+00,1.179958546046522372e+02,-5.058002456522651263e-02,2.483917839841519662e-03
6.416623436359444009e-03,-1.468042471123792609e-05,-9.507903681877518665e+00,1.190519804673444213e+02,2.609436335948351737e-03,3.971140388277379085e-02
6.483666594608223678e-03,2.153039857009533805e-06,7.536492307868477569e-01,1.201203677961403145e+02,-6.255900625771620288e-03,-2.087316131909726716e-02
6.577228179097004655e-03,1.202143602176272259e-05,-4.434251150019655974e+00,1.211860366403816869e+02,2.829179885203268047e-02,-5.835958479344380279e-02
6.697969020983481243e-03,-4.323503339957877927e-05,-8.493347152445746673e+00,1.221730452999914576e+02,7.605909818996377247e-02,1.796639648150382892e-02
6.753925284988640358e-03,4.643974869672777057e-05,-4.294122797805619562e+00,1.230517920169731525e+02,-8.221092271907590177e-02,-9.494187109928572954e-02
6.932568395935396512e-03,-1.686867162948893056e-05,1.180512256488048450e+01,1.240879643576881648e+02,-3.921843648896262274e-02,1.992872368069366351e-02
7.090405017109862283e-03,2.092084200800672418e-05,-1.236181302171570451e+01,1.251629952387229139e+02,-2.995041642811405169e-02,-3.909648816820392170e-02
7.190831463498853840e-03,-5.887753621434871950e-05,-2.941880993183111581e+00,1.261483230190210776e+02,-2.304356629382026816e-02,3.359753742725884312e-03
7.362441679078450540e-03,6.541080822670718501e-05,1.289916009668847074e+01,1.270599559391750546e+02,4.607077164168650249e-03,-2.289097712235667499e-03
7.533096274424864319e-03,-3.993540098411634323e-05,-1.038240740987570732e+01,1.280865119817279378e+02,2.638732049294957929e-02,-8.020517127616297315e-03
7.529084708488032254e-03,-9.845014787803046670e-05,3.951698417090048210e-01,1.290658665992509668e+02,3.908451586725955607e-02,2.746028138118139506e-02
7.620499835325834741e-03,9.104601559998698219e-05,1.862533590392054350e+00,1.301595091970052920e+02,-6.707175728693626389e-03,2.606457258004094002e-02
7.822027276506356500e-03,-7.595069958425978376e-07,-4.410873692230495635e+00,1.311912496633322007e+02,-4.498909805577073345e-02,4.204393393069227880e-02
7.830727396586889197e-03,1.080161809617397342e-05,-1.578235161352710492e+01,1.321333331715834731e+02,-1.761709684647265461e-02,2.547055578478405261e-03
7.958078743037175565e-03,-3.172508389094497741e-05,7.484362597043143772e+00,1.330440926344755326e+02,5.388987499268646855e-03,-3.149481576442344360e-02
8.135908020628586368e-03,-1.636319900964513035e-05,-1.247181126395769546e+01,1.340419837116866688e+02,-1.027499015154341271e-02,-6.570409470821833922e-03
8.187892446777599725e-03,1.208543227846054868e-05,1.422666364451476184e+01,1.350162765514803027e+02,-4.541198535852291468e-02,-4.899662479761150713e-02
8.304640513198693896e-03,7.381070454990973275e-05,-6.046557309100220934e+00,1.361101031388217564e+02,-5.895066787743398484e-02,4.176575873203303146e-02
8.497846909481391112e-03,5.968918446363356736e-05,1.495817911742452644e+01,1.370686815977063588e+02,-9.406307183443425590e-02,1.921431218882184433e-02
8.608345674465963868e-03,-1.107296796327035222e-05,4.200111090926881730e+00,1.380389141640967807e+02,-3.272975956706165868e-02,6.662516140314921065e-02
8.686076264059559848e-03,2.346055292149819440e-05,4.119185263875341896e+00,1.390726223015450955e+02,-5.035769255334509448e-02,3.882281352135628222e-02
8.864000334347576018e-03,1.321148765078504202e-04,-2.113793366314128974e+01,1.400949895317679363e+02,-9.091794073981947222e-02,-6.633424041830950080e-02
8.942406195637546060e-03,-2.733436115585201963e-05,-7.143073813615757217e+00,1.410938866342116853e+02,-4.136000569759641643e-02,2.528140340869550889e-02
9.086586403433426218e-03,-5.371565308186253203e-05,3.091746310941282383e-01,1.421227053954898736e+02,-6.239384128082074016e-02,-9.336868612065257755e-02
9.241487082023897709e-03,7.415008437065710777e-05,-1.032433047972514473e+01,1.430345382036225601e+02,-5.922686794342621464e-02,1.515417689683045549e-02
9.286982159403328260e-03,3.710708414710824933e-05,9.408248125390514804e-01,1.441263741281437376e+02,9.173742919981357075e-03,1.320349155653501028e-02
9.536685871472007012e-03,-2.922984117171376970e-05,2.470836387042609328e+00,1.450374909386833622e+02,6.304341056647165889e-03,-3.061514706081026188e-02
9.653142586875501294e-03,-1.141287681015869075e-04,-3.260926051435729445e+00,1.461047573899389818e+02,4.329640580468114425e-02,6.578297481474632002e-02
9.814690531463551165e-03,5.110557726895324668e-05,2.720617900572488868e+00,1.471240542874392361e+02,5.279840480286875082e-02,5.318044356486753554e-02
9.924046949291864470e-03,-2.284376995579208433e-05,-5.339608024446469869e+00,1.481629655159398453e+02,-3.363231930993139385e-02,1.289714069249093542e-01
1.004257705529967848e-02,3.524598494869163733e-06,-4.393352318636048470e-01,1.490406153166523211e+02,6.234287391011798102e-02,-3.731037246873161045e-02
1.012356893904437123e-02,4.726603838566147521e-05,6.387508287380647687e-01,1.501218468978611327e+02,1.336370715839973744e-01,-1.825858222714958276e-02
1.030730450720674339e-02,-3.272677205231327985e-05,-3.912977050571211368e-01,1.511882357131929098e+02,7.376305875686840763e-02,-4.498961277154862751e-04
1.050290297223988555e-02,6.705975461862232601e-06,1.259897066519139486e+01,1.520957312794037080e+02,4.003799105376247601e-04,-3.246509827692173333e-02
1.061542246779791782e-02,-3.437397800394179288e-05,-9.692937445770587246e+00,1.530407858022742573e+02,1.272854423339375186e-02,2.578800925133352406e-02
1.069582496802382911e-02,-2.204303106522317036e-05,3.374490048339778614e+00,1.541899245254555808e+02,-3.436101098265748749e-02,-1.907189413076433235e-02
1.092183612125346114e-02,-4.963914937073276630e-05,-1.143396737396128593e+01,1.551345239237742817e+02,5.291315474513980099e-02,-1.008171250861250590e-02
1.104336242523552836e-02,-6.955810601642323406e-05,1.003154653469766622e+00,1.561117844176845892e+02,1.259143893915274162e-02,1.346396725359532143e-01
