ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.892247363356943879e+00,-4.358867149805719221e-11,-9.780323605754341898e+00
9.903022627021249136e+00,-4.748973233108988660e-11,-9.780323500819898541e+00
9.912720364319124400e+00,-5.162306304862090342e-11,-9.780323392676923078e+00
9.921448327887212315e+00,-5.599560499335189437e-11,-9.780323281327582663e+00
9.929303495098491084e+00,-6.061429670399639392e-11,-9.780323166774124388e+00
9.936373145588643041e+00,-6.548607393681191228e-11,-9.780323049018834425e+00
9.942735831029779092e+00,-7.061786972813593351e-11,-9.780322928064009602e+00
9.948462247926801894e+00,-7.601661448803646754e-11,-9.780322803911937868e+00
9.953616023134122415e+00,-8.168923611685527795e-11,-9.780322676564871642e+00
9.958254420820709996e+00,-8.764266013785239364e-11,-9.780322546025015384e+00
9.962428978738639529e+00,-9.388380984038685943e-11,-9.780322412294513157e+00
9.966186080864776642e+00,-1.004196064291124597e-10,-9.780322275375437968e+00
9.969567472778299688e+00,-1.072569691755540937e-10,-9.780322135269788220e+00
9.972610725500469897e+00,-1.144028155691801912e-10,-9.780321991979471719e+00
9.975349652950423973e+00,-1.218640614657182896e-10,-9.780321845506319889e+00
9.977814687655381931e+00,-1.296476212309883017e-10,-9.780321695852070008e+00
9.980033218889843738e+00,-1.377604078789692599e-10,-9.780321543018374086e+00
9.982029897000860075e+00,-1.462093332031789015e-10,-9.780321387006793543e+00
9.983826907300773712e+00,-1.550013079007453705e-10,-9.780321227818806307e+00
9.985444216570696696e+00,-1.641432416887937789e-10,-9.780321065455801488e+00
9.986899794913627559e+00,-1.736420434129681930e-10,-9.780320899919088262e+00
9.988209815422264271e+00,-1.835046211480663489e-10,-9.780320731209895868e+00
9.989388833880038732e+00,-1.937378822908884280e-10,-9.780320559329375385e+00
9.990449950492035214e+00,-2.043487336454967333e-10,-9.780320384278601509e+00
9.991404955442831692e+00,-2.153440815011556976e-10,-9.780320206058581434e+00
9.992264459898548168e+00,-2.267308317032737099e-10,-9.780320024670254853e+00
9.993038013908693173e+00,-2.385158897177058620e-10,-9.780319840114499286e+00
9.993734212517823678e+00,-2.507061606887986850e-10,-9.780319652392126528e+00
9.994360791266041488e+00,-2.633085494915734847e-10,-9.780319461503893308e+00
9.994924712139438228e+00,-2.763299607784463815e-10,-9.780319267450506615e+00
9.995432240925493872e+00,-2.897772990208819466e-10,-9.780319070232616596e+00
9.995889016832943952e+00,-3.036574685463704500e-10,-9.780318869850832542e+00
9.996300115149649557e+00,-3.179773735711052688e-10,-9.780318666305712227e+00
